id	name	type	inforUrl
KS120P86XDXZJT3B7KVJ	(American Society For Quality) ASQ Certified	Certification	https://skills.emsidata.com/skills/KS120P86XDXZJT3B7KVJ
KS126XS6CQCFGC3NG79X	.NET Assemblies	Hard Skill	https://skills.emsidata.com/skills/KS126XS6CQCFGC3NG79X
KS1200B62W5ZF38RJ7TD	.NET Framework	Hard Skill	https://skills.emsidata.com/skills/KS1200B62W5ZF38RJ7TD
KS126XW78QJCF4TRV2X7	.NET Framework 1	Hard Skill	https://skills.emsidata.com/skills/KS126XW78QJCF4TRV2X7
KS126XY68BNKXSBSLPYS	.NET Framework 3	Hard Skill	https://skills.emsidata.com/skills/KS126XY68BNKXSBSLPYS
KS126XR63RKYVCKYDNBN	.NET Framework 4	Hard Skill	https://skills.emsidata.com/skills/KS126XR63RKYVCKYDNBN
KS126Y166NXP5X1SLV6V	.NET Reflector	Hard Skill	https://skills.emsidata.com/skills/KS126Y166NXP5X1SLV6V
KS126Y16DLZ0N5THPLDM	.NET Remoting	Hard Skill	https://skills.emsidata.com/skills/KS126Y16DLZ0N5THPLDM
KSLGDAXJ4EFDMIOPMGL2	.nettiers	Hard Skill	https://skills.emsidata.com/skills/KSLGDAXJ4EFDMIOPMGL2
KS1200M68TBM4SXLZV0G	10 Gigabit Ethernet	Hard Skill	https://skills.emsidata.com/skills/KS1200M68TBM4SXLZV0G
KSJCP2DYKDSINHFDMF51	1010data	Hard Skill	https://skills.emsidata.com/skills/KSJCP2DYKDSINHFDMF51
KS1200L6T0NXQPW7Z8YR	10BASE-F (Physical Layer Protocols)	Hard Skill	https://skills.emsidata.com/skills/KS1200L6T0NXQPW7Z8YR
KS1200M620TMJ94XF70B	10BASE-FL	Hard Skill	https://skills.emsidata.com/skills/KS1200M620TMJ94XF70B
KS1200K743J4NT3LXJ3B	10BASE2	Hard Skill	https://skills.emsidata.com/skills/KS1200K743J4NT3LXJ3B
KS1200L6N1G9SQSN2K4C	10BASE5	Hard Skill	https://skills.emsidata.com/skills/KS1200L6N1G9SQSN2K4C
KS4426Z6BVCJL5VZ46B9	10G-PON	Hard Skill	https://skills.emsidata.com/skills/KS4426Z6BVCJL5VZ46B9
KS1200P7676N5RQW5KZ0	123RF (Image Library)	Hard Skill	https://skills.emsidata.com/skills/KS1200P7676N5RQW5KZ0
KSG3JYO4PNRLSK692Z3J	128bit	Hard Skill	https://skills.emsidata.com/skills/KSG3JYO4PNRLSK692Z3J
KSFX0RS58RA2JDB0PO5E	12factor	Hard Skill	https://skills.emsidata.com/skills/KSFX0RS58RA2JDB0PO5E
KS1200Y5ZNNT2B1M81RN	2020 Design Software	Hard Skill	https://skills.emsidata.com/skills/KS1200Y5ZNNT2B1M81RN
KS1200Y714QV48TFJ75H	2D Animation	Hard Skill	https://skills.emsidata.com/skills/KS1200Y714QV48TFJ75H
